urls,title,company_name,experience,location,keyskills
https://www.naukri.com/job-listings-hiring-for-mnc-mumbai-pune-for-mainframe-developer-professional-sellcraft-global-solutions-private-limited-pune-mumbai-suburbs-bengaluru-bangalore-3-to-8-years-311020600702?src=jobsearchDesk&sid=16068097177408224&xp=9&px=3,Hiring For- MNC-Mumbai & Pune For Mainframe Developer Professional,Sellcraft Global Solutions Private Limited,3-8 Yrs,"Pune, Mumbai Suburbs, Bengaluru","jcl,Cobol,Mainframes,IT Skills,Mainframe,VSAM,Cics"
https://www.naukri.com/job-listings-immediate-need-for-mainframe-developer-bangalore-c2h-unit-force-technologies-consulting-pvt-ltd-bengaluru-bangalore-2-to-6-years-291118600489?src=jobsearchDesk&sid=16068097177408224&xp=10&px=3,Immediate need For ??Mainframe Developer ? - Bangalore- C2H,Unit Force Technologies Consulting Pvt Ltd.,2-6 Yrs,Bengaluru,"JCL,DB2,COBOL,CICS,Mainframe Developer"
https://www.naukri.com/job-listings-mainframe-datacenter-operator-varite-bengaluru-bangalore-5-to-10-years-011020500888?src=jobsearchDesk&sid=16068097177408224&xp=11&px=3,Mainframe Datacenter Operator,Varite,5-10 Yrs,Bengaluru,"IT Skills,Mainframe,Data Center Operator,TSO,Automation,JCL,Monitoring tools,Cics"
https://www.naukri.com/job-listings-mainframes-mq-engineer-technosoft-global-services-pvt-ltd-bengaluru-bangalore-7-to-9-years-140720501010?src=jobsearchDesk&sid=16068097177408224&xp=12&px=3,Mainframes MQ Engineer,Technosoft Global Services,7-9 Yrs,Bengaluru,"IT services,TSO,JCL,Linux,Appliances,Cics,IBM utilities,HTTP"
https://www.naukri.com/job-listings-mainframe-network-engineer-technosoft-global-services-pvt-ltd-bengaluru-bangalore-2-to-4-years-140720501009?src=jobsearchDesk&sid=16068097177408224&xp=13&px=3,Mainframe Network Engineer,Technosoft Global Services,2-4 Yrs,Bengaluru,"Unix,JCL,Network administration,Networking,Db2,Cics,HTTP,IMS"
https://www.naukri.com/job-listings-ibm-mainframe-db2-dba-accion-labs-chennai-delhi-bengaluru-bangalore-hyderabad-secunderabad-3-to-12-years-060820500481?src=jobsearchDesk&sid=16068097177408224&xp=14&px=3,IBM Mainframe DB2 DBA,ACCION LABS,3-12 Yrs,"Chennai, Delhi, Bengaluru, Hyderabad","IT Skills,Testing,Production support,Intern,DB2 Database Administrator,Troubleshooting,db2 dba,Performance monitoring"
https://www.naukri.com/job-listings-mainframe-batch-analyst-multi-recruit-bengaluru-bangalore-1-to-4-years-100920500015?src=jobsearchDesk&sid=16068097177408224&xp=15&px=3,MainFrame Batch Analyst,Multi Recruit,1-4 Yrs,Bengaluru,"Unix,Computer science,JCL,Linux,Application programming,Shell scripting,Control-M,Scheduling"
https://www.naukri.com/job-listings-mainframe-zos-system-programmer-specialist-ibm-india-pvt-limited-bengaluru-bangalore-7-to-11-years-091120903429?src=jobsearchDesk&sid=16068097177408224&xp=16&px=3,Mainframe zOS System Programmer Specialist,IBM India Pvt. Limited,7-11 Yrs,Bengaluru,"IT Skills,Java,Testing,Mainframe,Installation,Networking,REXX,P2V"
https://www.naukri.com/job-listings-mainframe-release-management-support-engineer-ibm-india-pvt-limited-bengaluru-bangalore-5-to-7-years-021120901981?src=jobsearchDesk&sid=16068097177408224&xp=17&px=3,Mainframe Release Management Support Engineer,IBM India Pvt. Limited,5-7 Yrs,Bengaluru,"IT Skills,Testing,DevOps,Mainframe,Db2,Scrum Master,Infrastructure Services,Agile"
https://www.naukri.com/job-listings-sas-mainframe-developer-pentagon-consultancy-services-bengaluru-bangalore-4-to-6-years-230617502697?src=jobsearchDesk&sid=16068097177408224&xp=18&px=3,SAS Mainframe developer,Pentagon Consultancy Services,4-6 Yrs,Bengaluru,"BPO,Payroll,Production support,SAS,Db2,Staffing,Cobol,Tools"
https://www.naukri.com/job-listings-mainframe-developer-squircle-it-consulting-services-pvt-ltd-bengaluru-bangalore-4-to-6-years-210217500467?src=jobsearchDesk&sid=16068097177408224&xp=19&px=3,Mainframe Developer,Squircle IT Consulting Services Pvt Ltd,4-6 Yrs,Bengaluru,"Technical product configuration,c++,C,design,MySQL,JavaScript,integration PHP,HTML"
https://www.naukri.com/job-listings-mainframe-developer-aegan-technologies-pvt-ltd-bengaluru-bangalore-1-to-6-years-031218501073?src=jobsearchDesk&sid=16068097177408224&xp=20&px=3,Mainframe Developer,Aegan Technologies Pvt Ltd,1-6 Yrs,Bengaluru,"IT Skills,Mainframe,Technical product configuration,design,MySQL,Mainframe,integration PHP,Mainframe Developer"
https://www.naukri.com/job-listings-openings-for-mainframe-tester-bangalore-hyderabad-early-joiners-pref-bct-consulting-private-limited-chennai-bengaluru-bangalore-hyderabad-secunderabad-south-india-2-to-6-years-091120004334?src=jobsearchDesk&sid=16068097239945666&xp=1&px=4,Openings For Mainframe Tester@Bangalore/Hyderabad(early joiners pref),BCT Consulting Private Limited,2-6 Yrs,"Chennai, Bengaluru, Hyderabad, south india","Mainframe Testing,Testing,IT Skills,Mainframe,VSAM,JCL,Db2,Cics"
https://www.naukri.com/job-listings-immediate-hiring-on-mainframe-acf2-racf-maintec-technologies-private-limited-chennai-bengaluru-bangalore-hyderabad-secunderabad-5-to-10-years-041120001625?src=jobsearchDesk&sid=16068097239945666&xp=2&px=4,Immediate Hiring on Mainframe ACF2 & RACF,Maintec Technologies Private Limited,5-10 Yrs,"Chennai, Bengaluru, Hyderabad","Acf2,RACF,IT Skills,Mainframe,JCL,Vtam,Profile Creation,Db2"
https://www.naukri.com/job-listings-mainframe-db2-dba-pentagon-consultancy-services-chennai-pune-bengaluru-bangalore-hyderabad-secunderabad-kolkata-7-to-12-years-230617502794?src=jobsearchDesk&sid=16068097239945666&xp=3&px=4,Mainframe DB2 DBA,Pentagon Consultancy Services,7-12 Yrs,"Chennai, Pune, Bengaluru, Hyderabad, Kolkata","BPO,Payroll,Db2,Staffing,Application development,IMS DB,Subject Matter Expert,db2 dba"
https://www.naukri.com/job-listings-immediate-opportunity-for-mainframe-architect-bangalore-attra-infotech-pvt-ltd-bengaluru-bangalore-18-to-24-years-241120005608?src=jobsearchDesk&sid=16068097239945666&xp=4&px=4,Immediate Opportunity For Mainframe Architect_Bangalore,Attra Infotech Pvt Ltd,18-24 Yrs,Bengaluru(Electronic City),Mainframe architect
https://www.naukri.com/job-listings-mainframe-migration-architect-senior-architect-mindtree-limited-bengaluru-bangalore-10-to-16-years-160720003362?src=jobsearchDesk&sid=16068097239945666&xp=5&px=4,Mainframe Migration - Architect/ Senior Architect,Mindtree Limited,10-16 Yrs,Bengaluru,"Mainframe Modernization,Mainframe Migration,Mainframe Infrastructure"
